,Zn (¦Ìg/L),Cd (¦Ìg/L),Hg (¦Ìg/L),Pb (¦Ìg/L),Cu (¦Ìg/L)
Y1,27.7,0.02,0.048,0,4.4
Y2,13.9,0.02,0.012,0,1.6
Y3,9.4,0.01,0.027,0.09,1.5
Y4,6.6,0.15,0.032,0.14,4.6
Y5,10.45,0.015,0.024,0.075,3.05
Y6,15.5,0.01,0.0205,0.155,3.55
Y7,8.05,0.04,0.036,0.71,3.2
Y8,6,0.07,0.03,0.96,2.4
Y9,10.65,0.065,0.026,0.08,3.9
Y10,21.55,0.05,0.035,0.06,2.05
Y11,25.9,0.125,0.025,0.295,3.9
Y12,25,0.15,0.046,0.07,2.5
Y13,23.55,0.105,0.044,0.395,2.75
Y14,16.6,0.06,0.016,0.07,2.9
Y15,30.35,0.09,0.0375,0.08,2.05
Y16,25.2,0.12,0.054,0.09,2.7
Y17,25,0.215,0.026,0.065,1.5
Y18,25.1,0.04,0.036,0.275,3.55
Y19,15.8,0.06,0.04,0.525,4.2
Y20,22.7,0.03,0.032,0.11,4.1
Y21,20.2,0.08,0.0425,0.07,2.45
Y22,19.4,0.04,0.0365,0.08,1.95
Y23,20.4,0.065,0.026,0.17,2.25
