,pH(-),DO (mg/L),BOD (mg/L),Ss (mg/L),Cha-a (¦Ìg/L),COD (mg/L),S (¦Ìg/L),NO3 (mg/L),NH4 (mg/L),NO2 (mg/L),PO3 (mg/L),Zn (¦Ìg/L),Cd (¦Ìg/L),Hg (¦Ìg/L),Pb (¦Ìg/L),Cu (¦Ìg/L)
Y1,8.04,7.7,0.6,37.7,1.02,0.45,1,0.3046,0.024,0.0367,0.0242,27.7,0.02,0.048,0,4.4
Y2,8.08,7.9,0.7,46.1,0,0.48,2,0.301,0.011,0.0343,0.0211,13.9,0.02,0.012,0,1.6
Y3,7.97,7.3,1.4,72.3,1.65,1.31,1.5,0.1837,0.018,0.034,0.025,9.4,0.01,0.027,0.09,1.5
Y4,8.07,7.5,1.1,32.8,0.631,0.91,1.2,0.1812,0.004,0.0323,0.0166,6.6,0.15,0.032,0.14,4.6
Y5,8.105,7.75,1.25,23.4,2.23,1.055,0.7,0.25275,0.008,0.0235,0.01745,10.45,0.015,0.024,0.075,3.05
Y6,7.985,7.55,1.35,34.15,1.885,1.075,0.5,0.2913,0.0135,0.0298,0.01635,15.5,0.01,0.0205,0.155,3.55
Y7,8.005,7.15,1.2,41.6,1.63,1.01,0.75,0.1236,0.003,0.0284,0.01315,8.05,0.04,0.036,0.71,3.2
Y8,8.1,7.4,1,20.4,0,0.82,1,0.1403,0.022,0.0292,0.02,6,0.07,0.03,0.96,2.4
Y9,8.13,7.3,1,45.85,0,0.805,1.4,0.1647,0.0205,0.0181,0.0175,10.65,0.065,0.026,0.08,3.9
Y10,8.105,7.35,0.9,27.7,0,0.795,1.1,0.1379,0.0115,0.0177,0.0179,21.55,0.05,0.035,0.06,2.05
Y11,7.965,7.3,0.65,25.1,0.776,0.59,1.15,0.12615,0.011,0.0172,0.0129,25.9,0.125,0.025,0.295,3.9
Y12,8.06,7.1,0.9,31,0,0.85,1.8,0.8747,0.05,0.0632,0.042,25,0.15,0.046,0.07,2.5
Y13,8.08,7.55,0.55,37.45,1.765,0.465,1.15,0.252,0.0705,0.03325,0.02815,23.55,0.105,0.044,0.395,2.75
Y14,8.08,7,0.4,27.65,0,0.355,0.95,0.1158,0.0035,0.02685,0.0183,16.6,0.06,0.016,0.07,2.9
Y15,7.92,6.9,0.7,37.2,0,0.655,1.35,0.12335,0.004,0.0115,0.0133,30.35,0.09,0.0375,0.08,2.05
Y16,8.06,7.5,0.5,40,1.71,0.41,1,0.2617,0.016,0.0199,0.0244,25.2,0.12,0.054,0.09,2.7
Y17,8.105,7.15,0.45,64.85,0,0.335,2.65,0.1736,0.0275,0.0235,0.0171,25,0.215,0.026,0.065,1.5
Y18,8.11,6.95,0.5,29.65,5.65,0.385,1.85,0.11085,0.015,0.01955,0.02,25.1,0.04,0.036,0.275,3.55
Y19,7.98,7.15,0.8,35.85,0,0.53,1.35,0.11,0.0025,0.0135,0.0119,15.8,0.06,0.04,0.525,4.2
Y20,8.01,7.1,0.6,33.6,0.426,0.42,5.2,0.1087,0.003,0.0112,0.0133,22.7,0.03,0.032,0.11,4.1
Y21,8.02,7.4,0.65,57.45,1.715,0.51,2.25,0.10145,0.0215,0.0204,0.01695,20.2,0.08,0.0425,0.07,2.45
Y22,8.01,6.6,0.7,22.55,0,0.475,0.6,0.1048,0.003,0.0147,0.0118,19.4,0.04,0.0365,0.08,1.95
Y23,8.035,6.4,0.75,23,1.04,0.6,0.75,0.1469,0.0025,0.0132,0.0107,20.4,0.065,0.026,0.17,2.25
